,name,amenity,Keywords
1883,Aisin-Gioro Fine Art Gallery Ltd,Art Galleries,
1884,Dr. Sun Yat-Sen Classical Chinese Garden,Gardens,Museums ; Historic & Heritage Sites ; Science & Nature ; 
1885,Pacific Coach,Transportation - Bus / Motor Coach,Tours - Sightseeing Tours ; 
1886,Science World at Telus World of Science,Science & Nature,Museums ; 
1887,Sins of the City Walking Tours,Walking Tours,Museums ; Historic & Heritage Sites ; Sightseeing Tours ; 
1888,Taste Vancouver Food Tours,Culinary Tours,Sightseeing Tours ; Walking Tours ; 
1889,Vancouver Photo Walks,Walking Tours,Sightseeing Tours ; 
1890,Vancouver Police Museum,Museums,Historic & Heritage Sites ; Walking Tours ; 
1891,VIA Rail,Trains (sightseeing),Tours - Sightseeing Tours ; Transportation - Train ; 
1892,"WESTCOAST Hop-On, Hop-Off Sightseeing",Tours - Sightseeing Tours,
4454,BC Sports Hall of Fame,Museums,Walking Tours ; 
4455,Bill Reid Gallery of Northwest Coast Art,Museums - Aboriginal Museums,Art Galleries ; 
4456,Canada Coach Line Ltd.,Bus / Coach / Shuttle,Car / Truck rentals ; Shuttles ; Sightseeing Tours ; 
4457,Ecomoto,Car / Truck rentals,
4458,Forbidden Vancouver,Walking Tours,Theatre & Performing Arts ; Historic & Heritage Sites ; Sightseeing Tours ; 
4459,Lawrence Tours,Sightseeing Tours,Bus / Coach / Shuttle ; Culinary Tours ; Wine Tours ; 
4460,LeSoleil Fine Art Gallery,Art Galleries,Artists ; Museums ; Walking Tours ; 
4461,Mountain Bike Vancouver,Biking - Mountain Biking,Biking - Cycling ; Hiking - Hiking ; 
4462,Pacific Car Rentals,Transportation - Car / Truck rentals,
4463,Perimeter Transportation,Bus / Coach / Shuttle,Golf - Golf Tours ; Shuttles ; Sightseeing Tours ; 
4464,Swirl Wine Store - Yaletown,Shops & Malls,
4465,Urban Adventure Quest - Amazing Scavenger Hunt Adventure Vancouver,Sightseeing Tours,Activity Zones - Outdoor ; Walking Tours ; 
4466,Vancouver Art Gallery,Art Galleries,Museums ; Artists ; Artists - Aboriginal ; 
4467,Vancouver Brewery Tours,"Breweries, Distilleries & Cideries",Sightseeing Tours ; Culinary Tours ; Walking Tours ; 
4468,Vancouver City Passport,Aquariums,Museums ; Art Galleries ; Sightseeing Tours ; 
4469,Vancouver Food Tour,Culinary Tours,"Breweries, Distilleries & Cideries ; Walking Tours ; Wine Tours ; "
4470,Vancouver Foodie Tours,Culinary Tours,Sightseeing Tours ; Walking Tours ; 
4471,Vancouver Lookout,"Bridges, Buildings & Structures",Sightseeing Tours ; 
4472,Vine & Hops Wine & Craft Beer Tours,"Breweries, Distilleries & Cideries",Shuttles ; Sightseeing Tours ; Wine Tours ; 
4473,WESTCOAST Sightseeing,Tours - Sightseeing Tours,Bus / Coach / Shuttle ; 
4474,Whistler Adventure Passport,Skiing & Snowboarding,Biking - Mountain Biking ; Sightseeing Tours ; Ziplining & Bungee Jumping ; 
6005,Bayshore Bicycle Rentals,Cycling,
6006,"Bites-on Salmon Charters, Vancouver",Fishing - Saltwater,Power Boating & Jet Boating ; 
6007,Cycle City Tours,Sightseeing Tours,Biking - Cycling ; 
6008,Harbour Cruises & Events,Cruises & Boat Tours,Sightseeing Tours ; 
6009,Magic Yacht Tours,Cruises & Boat Tours,Sightseeing Tours ; 
6010,Pacific Yacht Charters,Cruises & Boat Tours,Power Boating & Jet Boating ; 
6011,Prince of Whales Whale Watching - Vancouver,Wildlife Viewing - Whale Watching,Cruises & Boat Tours ; Sightseeing Tours ; 
6012,Roedde House Museum,Museums,Historic & Heritage Sites ; 
6013,Sea Vancouver,Cruises & Boat Tours,Power Boating & Jet Boating ; Sightseeing Tours ; 
6014,Stanley Park Horse-Drawn Tours,Tours - Sightseeing Tours,Science & Nature ; Gardens & City Parks ; 
7197,Rocky Mountaineer,Trains (sightseeing),Train ; Sightseeing Tours ; 
8202,Bentley Tours,Bus / Coach / Shuttle,Shuttles ; Sightseeing Tours ; 
8203,Canada Place,"Bridges, Buildings & Structures",
8204,Canadian Craft Tours,Sightseeing Tours,"Wine Tours ; Breweries, Distilleries & Cideries ; Wineries ; "
8205,Coastal Pacific Tours,Sightseeing Tours,Bus / Coach / Shuttle ; 
8206,Discover Canada Tours,Tours - Sightseeing Tours,Skiing & Snowboarding ; 
8207,Drai's,Casinos,
8208,Easy Trips Vancouver,Bus / Coach / Shuttle,Shuttles ; Sightseeing Tours ; Wine Tours ; 
8209,Harbour Air Seaplanes - Vancouver,Flightseeing,Tours - Sightseeing Tours ; Wildlife Viewing - Whale Watching ; Airlines & Charters ; 
8210,SnowBus,Bus / Coach / Shuttle,
8211,The Spa by Ivanka Trump,Spas,
8212,The Vancouver Trolley Company,Tours - Sightseeing Tours,Transportation - Bus / Motor Coach ; 
8213,ToursByLocals - Unique Travel Experiences,Tours - Sightseeing Tours,Culinary Tours ; Hiking - Hiking ; Walking Tours ; 
8214,V2V Vacations,Ferries,Cruises & Boat Tours ; Sightseeing Tours ; 
8215,Vancouver Mysteries,Walking Tours,Activity Zones - Outdoor ; Sightseeing Tours ; 
8216,Vancouver Visitor Centre,Visitor Services,
8217,Wild BC Tours & Guiding,Sightseeing Tours,Wine Tours ; Wildlife Viewing - Other ; Segway Tours ; 
11710,Playland Amusement Park,Amusement Parks,Activity Zones - Outdoor ; Golf - Miniature Golf ; 
16308,Silversides Fishing Adventures,Fishing - Freshwater,Fishing - Saltwater ; Wildlife Viewing - Bird Watching ; Sightseeing Tours ; 
